ps_code,mp_code,mp_name,boiler_name,boiler_type,creater_time,burn_ability,data_status,open_time,create_time,update_time,stopopen_time,stopopen_status,stopopen_reason,success_time
33956EC417CF46B4FC728CB1B753C08C,33956EC417CF46B459F8EFB5ACBF7D8F,2号焚烧炉排气筒DA002,二号炉排放口,炉排炉,2020-07-27,300,0,2021-03-27 00:00:00,2021-03-26 09:35:08,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
068E652C488E6D01A2160B57B164DA48,068E652C488E6D017996FB73904A4BE0,1#废气监控点,#1焚烧炉,炉排炉,2011-04-30,500,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:05,,,,2023-04-23 00:00:00
068E652C488E6D01A2160B57B164DA48,068E652C488E6D019AF4972A615B3295,2#废气监控点,#2焚烧炉,炉排炉,2011-04-30,500,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
068E652C488E6D01A2160B57B164DA48,068E652C488E6D012902D29A909DD50F,3#废气监控点,#3焚烧炉,炉排炉,2016-01-18,610,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
068E652C488E6D01A2160B57B164DA48,5F35E14AC2667249393714F3711E3B88D566212C4692569C068DB4BDC14A9A2618B4D45CD1870490,4#废气监控点,#4焚烧炉,炉排炉,2021-12-10,400,0,2022-03-16 00:00:00,2022-03-15 09:35:09,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
068E652C488E6D01A2160B57B164DA48,5F35E14AC2667249393714F3711E3B88927146BA37C2201B89FDC9AA5B19DE3BA1D7BAB95283CB2A,5#废气监控点,#5焚烧炉,炉排炉,2021-12-10,400,0,2022-03-16 00:00:00,2022-03-15 09:35:09,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
70D48D03508236AF80A33AFF7B6F6EFE,70D48D03508236AF6CEFFFA8DDD1F53A,废气排放口3,废气排放口3,炉排炉,2020-09-15,350,0,2021-01-14 00:00:00,2020-12-25 09:35:07,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
70D48D03508236AF80A33AFF7B6F6EFE,70D48D03508236AF5376BC54774E70DB,废气排放口1,废气排放口1,炉排炉,2016-05-03,350,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
70D48D03508236AF80A33AFF7B6F6EFE,70D48D03508236AF247CC53DD554DE2A,废气排放口2,废气排放口2,炉排炉,2016-05-03,350,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
50AAFD4DDABFFDD60DC87A5C4218C302,50AAFD4DDABFFDD64CEBBBF6D48E58E7,环文再生（1）,#1焚烧炉,炉排炉,2019-12-26,525,0,2020-04-13 00:00:00,2020-03-31 09:35:05,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
